000760.SZ,斯太尔,2015-11-27,8.27,15.35,18.26,0.8561064087061669,0.1895765472312705
000790.SZ,泰合健康,2009-11-25,8.59,9.33,8.85,0.08614668218859141,-0.05144694533762063
000802.SZ,北京文化,2014-10-18,16.34,15.85,14.84,-0.02998776009791923,-0.06372239747634068
000810.SZ,创维数字,2017-08-16,10.53,11.2,11.51,0.06362773029439696,0.027678571428571476
000818.SZ,方大化工,2012-07-27,4.06,3.54,3.71,-0.12807881773399005,0.04802259887005648
000826.SZ,启迪桑德,2014-11-14,23.91,23.75,29.9,-0.006691760769552494,0.2589473684210526
000826.SZ,启迪桑德,2010-08-11,20.8,23.36,24.3,0.12307692307692301,0.04023972602739732
000851.SZ,高鸿股份,2014-10-08,13.91,14.65,13.48,0.05319913731128686,-0.07986348122866893
000851.SZ,高鸿股份,2017-06-15,9.63,9.06,9.27,-0.059190031152648,0.023178807947019764
000887.SZ,中鼎股份,2016-08-08,25.21,24.15,23.16,-0.0420468068226895,-0.04099378881987571
000893.SZ,东凌国际,2013-06-26,14.71,12.65,14.2,-0.14004078857919786,0.12252964426877462
000893.SZ,东凌国际,2013-06-26,14.71,12.65,14.2,-0.14004078857919786,0.12252964426877462
000902.SZ,新洋丰,2015-07-13,31.3,27.52,28.69,-0.12076677316293934,0.04251453488372099
000910.SZ,大亚圣象,2017-06-17,22.69,24.0,24.2,0.057734684883208404,0.008333333333333304
000910.SZ,大亚圣象,2016-06-29,13.25,15.51,16.58,0.17056603773584905,0.06898774983881358
000921.SZ,海信科龙,2011-06-11,7.52,6.68,6.52,-0.11170212765957445,-0.023952095808383256
000925.SZ,众合科技,2012-12-29,7.47,8.87,8.8,0.1874163319946452,-0.00789177001127379
000926.SZ,福星股份,2006-09-22,7.89,9.81,10.65,0.24334600760456285,0.08562691131498469
000936.SZ,华西股份,2016-03-15,8.3,7.9,10.56,-0.04819277108433739,0.3367088607594937
000939.SZ,凯迪生态,2006-07-26,8.6,8.18,6.85,-0.048837209302325574,-0.16259168704156482
000948.SZ,南天信息,2010-03-19,14.36,16.78,15.36,0.16852367688022296,-0.08462455303933264
000961.SZ,中南建设,2011-11-26,7.6,7.14,8.56,-0.060526315789473685,0.19887955182072842
000967.SZ,盈峰环境,2016-02-22,18.43,18.9,19.57,0.025501899077590824,0.035449735449735544
000969.SZ,安泰科技,2008-12-30,10.04,10.71,13.85,0.06673306772908384,0.2931839402427636
000976.SZ,华铁股份,2016-12-20,11.01,10.11,8.81,-0.08174386920980929,-0.12858555885262107
000977.SZ,浪潮信息,2015-02-28,49.83,52.49,57.7,0.053381497090106436,0.09925700133358736
000997.SZ,新大陆,2005-10-12,10.05,11.75,8.08,0.16915422885572132,-0.3123404255319149
000997.SZ,新大陆,2014-09-02,20.02,21.25,26.81,0.06143856143856146,0.26164705882352934
001979.SZ,招商蛇口,2016-11-29,16.87,19.3,16.37,0.14404267931238884,-0.15181347150259064
002002.SZ,鸿达兴业,2014-07-10,10.63,7.87,8.35,-0.25964252116650993,0.06099110546378647
