002076.SZ,雪莱特,2015-4-14
002078.SZ,太阳纸业,2017-9-11
002078.SZ,太阳纸业,2014-4-28
002079.SZ,苏州固锝,2010-8-21
002081.SZ,金螳螂,2008-7-11
002089.SZ,新海宜,2012-8-15
002090.SZ,金智科技,2013-6-18
002091.SZ,江苏国泰,2013-2-26
002093.SZ,国脉科技,2016-12-29
002097.SZ,山河智能,2010-11-18
002098.SZ,浔兴股份,2011-5-21
002099.SZ,海翔药业,2015-1-21
002099.SZ,海翔药业,2010-6-29
002101.SZ,广东鸿图,2016-9-20
002103.SZ,广博股份,2016-7-27
002104.SZ,恒宝股份,2014-4-25
002104.SZ,恒宝股份,2014-4-25
002115.SZ,三维通信,2016-7-19
002116.SZ,中国海诚,2013-12-13
002116.SZ,中国海诚,2012-3-6
002117.SZ,东港股份,2011-9-10
002120.SZ,韵达股份,2017-3-2
002121.SZ,科陆电子,2013-11-13
002121.SZ,科陆电子,2013-11-13
002124.SZ,天邦股份,2013-1-22
002126.SZ,银轮股份,2013-1-7
002130.SZ,沃尔核材,2012-1-17
002130.SZ,沃尔核材,2017-2-13
002130.SZ,沃尔核材,2012-1-17
002130.SZ,沃尔核材,2017-2-13
002131.SZ,利欧股份,2016-6-21
002132.SZ,恒星科技,2014-10-28
002137.SZ,麦达数字,2014-2-20
002137.SZ,麦达数字,2017-5-5
002137.SZ,麦达数字,2014-2-20
002138.SZ,顺络电子,2013-5-3
002138.SZ,顺络电子,2010-1-20
002138.SZ,顺络电子,2016-8-16
002139.SZ,拓邦股份,2013-3-28
002139.SZ,拓邦股份,2015-10-13
002145.SZ,中核钛白,2015-4-30
002146.SZ,荣盛发展,2010-7-13
002148.SZ,北纬科技,2010-11-24
002148.SZ,北纬科技,2016-11-30
002150.SZ,通润装备,2016-10-31
002151.SZ,北斗星通,2016-10-15
002151.SZ,北斗星通,2016-10-15
002151.SZ,北斗星通,2009-7-11
002153.SZ,石基信息,2016-8-22
002154.SZ,报喜鸟,2017-1-19
002154.SZ,报喜鸟,2008-10-21
002157.SZ,正邦科技,2016-5-18
002157.SZ,正邦科技,2017-5-23
002157.SZ,正邦科技,2015-4-17
002157.SZ,正邦科技,2017-5-23
002160.SZ,常铝股份,2015-11-2
002161.SZ,远望谷,2016-10-1
002161.SZ,远望谷,2012-2-9
002162.SZ,悦心健康,2010-4-1
002162.SZ,悦心健康,2017-7-1
002165.SZ,红宝丽,2012-7-10
002167.SZ,东方锆业,2012-11-6
002168.SZ,深圳惠程,2015-10-14
002168.SZ,深圳惠程,2015-10-14
002168.SZ,深圳惠程,2015-8-6
002168.SZ,深圳惠程,2016-8-23
002170.SZ,芭田股份,2010-9-18
002172.SZ,澳洋科技,2016-8-17
002172.SZ,澳洋科技,2013-8-19
002172.SZ,澳洋科技,2016-8-17
002173.SZ,创新医疗,2012-6-19
002174.SZ,游族网络,2011-6-3
002174.SZ,游族网络,2017-7-18
002176.SZ,江特电机,2013-2-7
002176.SZ,江特电机,2017-5-18
002178.SZ,延华智能,2014-4-9
002179.SZ,中航光电,2016-10-28
002180.SZ,纳思达,2016-9-10
002183.SZ,怡亚通,2013-10-25
002184.SZ,海得控制,2016-12-8
002191.SZ,劲嘉股份,2014-3-15
002194.SZ,武汉凡谷,2010-3-6
002195.SZ,二三四五,2016-10-28
002195.SZ,二三四五,2011-9-21
002196.SZ,方正电机,2014-11-29
002197.SZ,证通电子,2014-8-26
002200.SZ,云投生态,2008-6-3
002203.SZ,海亮股份,2016-8-6
002206.SZ,海利得,2014-1-17
002206.SZ,海利得,2017-6-17
002206.SZ,海利得,2014-1-17
002215.SZ,诺普信,2012-2-7
002215.SZ,诺普信,2015-11-17
002216.SZ,三全食品,2014-2-8
002216.SZ,三全食品,2016-9-27
002219.SZ,恒康医疗,2012-10-30
002221.SZ,东华能源,2010-11-23
002221.SZ,东华能源,2014-4-4
002221.SZ,东华能源,2017-6-9
002224.SZ,三力士,2014-7-9
002225.SZ,濮耐股份,2017-4-21
002225.SZ,濮耐股份,2012-8-3
002225.SZ,濮耐股份,2012-8-3
002226.SZ,江南化工,2013-6-4
002227.SZ,奥特迅,2013-9-4
002227.SZ,奥特迅,2013-9-4
002229.SZ,鸿博股份,2016-12-14
002230.SZ,科大讯飞,2017-1-16
002230.SZ,科大讯飞,2011-12-13
002230.SZ,科大讯飞,2014-11-11
002235.SZ,安妮股份,2017-6-9
002235.SZ,安妮股份,2017-6-9
002236.SZ,大华股份,2013-11-9
002236.SZ,大华股份,2010-6-3
002241.SZ,歌尔股份,2013-11-28
002242.SZ,九阳股份,2014-7-19
002245.SZ,澳洋顺昌,2014-1-11
002245.SZ,澳洋顺昌,2017-2-27
002245.SZ,澳洋顺昌,2014-1-11
002247.SZ,帝龙文化,2014-7-10
002249.SZ,大洋电机,2014-12-10
002249.SZ,大洋电机,2017-3-18
002249.SZ,大洋电机,2014-12-10
002249.SZ,大洋电机,2017-3-18
002250.SZ,联化科技,2011-12-10
002250.SZ,联化科技,2014-9-10
002250.SZ,联化科技,2017-2-23
002252.SZ,上海莱士,2014-8-14
002252.SZ,上海莱士,2014-8-14
002256.SZ,兆新股份,2013-12-4
002256.SZ,兆新股份,2013-12-4
002261.SZ,拓维信息,2014-6-25
002264.SZ,新华都,2010-11-26
002266.SZ,浙富控股,2010-6-11
002269.SZ,美邦服饰,2010-10-12
002269.SZ,美邦服饰,2013-12-25
002271.SZ,东方雨虹,2013-7-6
002271.SZ,东方雨虹,2016-7-28
002273.SZ,水晶光电,2010-11-30
002273.SZ,水晶光电,2016-10-31
002276.SZ,万马股份,2013-10-8
002277.SZ,友阿股份,2011-9-29
002279.SZ,久其软件,2017-8-23
002281.SZ,光迅科技,2014-11-12
002283.SZ,天润曲轴,2014-10-28
002285.SZ,世联行,2016-2-6
002285.SZ,世联行,2017-8-30
002292.SZ,奥飞娱乐,2014-6-4
002292.SZ,奥飞娱乐,2014-6-4
002293.SZ,罗莱生活,2017-4-1
002293.SZ,罗莱生活,2013-5-4
002295.SZ,精艺股份,2015-10-29
002298.SZ,中电鑫龙,2011-5-17
002301.SZ,齐心集团,2011-6-28
002305.SZ,南国置业,2011-6-28
002308.SZ,威创股份,2011-6-9
002308.SZ,威创股份,2016-8-4
002309.SZ,中利集团,2015-7-21
002310.SZ,东方园林,2016-5-25
002310.SZ,东方园林,2011-1-11
002310.SZ,东方园林,2014-8-18
002311.SZ,海大集团,2014-8-27
002311.SZ,海大集团,2014-8-27
002311.SZ,海大集团,2016-12-7
002311.SZ,海大集团,2011-4-19
002313.SZ,日海通讯,2012-12-25
002317.SZ,众生药业,2013-11-30
002322.SZ,理工环科,2012-4-7
002324.SZ,普利特,2011-8-25
002325.SZ,洪涛股份,2011-5-12
002325.SZ,洪涛股份,2017-1-24
002325.SZ,洪涛股份,2013-6-18
002326.SZ,永太科技,2013-12-24
002326.SZ,永太科技,2017-4-18
002327.SZ,富安娜,2014-4-1
002327.SZ,富安娜,2012-2-7
002327.SZ,富安娜,2016-12-31
002327.SZ,富安娜,2011-1-25
002327.SZ,富安娜,2016-2-2
002333.SZ,罗普斯金,2011-9-2
002334.SZ,英威腾,2013-7-4
002334.SZ,英威腾,2015-9-29
002334.SZ,英威腾,2013-7-4
002335.SZ,科华恒盛,2017-7-25
002335.SZ,科华恒盛,2014-9-2
002335.SZ,科华恒盛,2014-9-2
002335.SZ,科华恒盛,2011-9-6
002337.SZ,赛象科技,2013-3-13
002340.SZ,格林美,2016-12-10
002341.SZ,新纶科技,2017-1-18
002350.SZ,北京科锐,2016-11-28
002354.SZ,天神娱乐,2015-11-21
002362.SZ,汉王科技,2016-11-18
002364.SZ,中恒电气,2014-5-14
002364.SZ,中恒电气,2011-12-13
002365.SZ,永安药业,2016-11-18
002367.SZ,康力电梯,2011-9-2
002368.SZ,太极股份,2015-1-10
002369.SZ,卓翼科技,2017-9-21
002369.SZ,卓翼科技,2014-4-28
002369.SZ,卓翼科技,2017-9-21
002372.SZ,伟星新材,2016-2-27
002372.SZ,伟星新材,2011-11-19
002373.SZ,千方科技,2012-6-21
002375.SZ,亚厦股份,2011-4-19
002377.SZ,国创高新,2013-11-5
002382.SZ,蓝帆医疗,2015-1-20
002383.SZ,合众思壮,2012-2-1
002383.SZ,合众思壮,2017-8-30
002383.SZ,合众思壮,2017-8-30
002385.SZ,大北农,2011-11-23
002387.SZ,黑牛食品,2011-12-13
002389.SZ,南洋科技,2014-2-28
002389.SZ,南洋科技,2014-2-28
002391.SZ,长青股份,2013-5-17
002397.SZ,梦洁股份,2016-3-30
002397.SZ,梦洁股份,2013-10-26
002398.SZ,建研集团,2017-3-16
002400.SZ,省广股份,2015-9-16
002400.SZ,省广股份,2016-3-31
002402.SZ,和而泰,2017-9-28
002405.SZ,四维图新,2015-6-2
002407.SZ,多氟多,2014-12-22
002410.SZ,广联达,2012-12-12
002413.SZ,雷科防务,2017-3-24
002415.SZ,海康威视,2012-7-25
002415.SZ,海康威视,2016-10-21
002415.SZ,海康威视,2014-9-30
002416.SZ,爱施德,2014-6-19
002416.SZ,爱施德,2012-3-31
002416.SZ,爱施德,2011-8-18
002419.SZ,天虹股份,2014-6-5
002421.SZ,达实智能,2014-12-20
002421.SZ,达实智能,2012-3-17
002422.SZ,科伦药业,2016-10-28
002426.SZ,胜利精密,2012-6-12
002429.SZ,兆驰股份,2012-10-23
002431.SZ,棕榈股份,2013-4-15
002433.SZ,太安堂,2014-11-12
002436.SZ,兴森科技,2011-7-12
002437.SZ,誉衡药业,2014-9-30
002438.SZ,江苏神通,2015-11-25
002441.SZ,众业达,2015-6-30
002441.SZ,众业达,2017-9-5
002445.SZ,中南文化,2016-3-8
002447.SZ,壹桥股份,2014-5-6
002448.SZ,中原内配,2017-8-25
002450.SZ,康得新,2012-11-5
002450.SZ,康得新,2011-1-28
002450.SZ,康得新,2014-2-24
002452.SZ,长高集团,2016-11-17
002452.SZ,长高集团,2013-1-15
002454.SZ,松芝股份,2015-10-30
002454.SZ,松芝股份,2015-8-25
002456.SZ,欧菲光,2016-6-25
002456.SZ,欧菲光,2016-6-25
002458.SZ,益生股份,2014-4-2
002458.SZ,益生股份,2017-3-9
002458.SZ,益生股份,2014-4-2
002460.SZ,赣锋锂业,2012-6-27
002466.SZ,天齐锂业,2015-8-11
002467.SZ,二六三,2013-12-25
